,User,Text,Date,Favorites,Retweets,Mentions,Hashtags
22,ainunnm_,"Bener bener dah corona kelar mau ke psikolog, udah gatahan banget ",2020-05-30 14:55:04+00:00,0,1,,
23,thymotti,"Sans aelah, ntar kelar corona kita undang live private ",2020-05-30 14:40:18+00:00,0,0,,
24,indosportdotcom,Lockdown Corona Buat Istri Seksi Kim Kurniawan Rindu ke Gym ,2020-05-30 14:23:57+00:00,0,1,,
25,stnislaskostka,Tolong bgt dah ya. Indonesia doang x ya yg lg corona disambung sambungin sama politik...,2020-05-30 14:21:59+00:00,0,0,,
26,Julyandinsss,New version of watching concert on 2020... damn u corona go away sooner ,2020-05-30 14:17:08+00:00,0,1,,
28,StyaIstiqomah,"Katanya bentar lagi semua bakal hidup berdampingan dengan Corona, terus aku dan kamu kapan hidup berdampingan ? Ehh",2020-05-30 14:05:32+00:00,0,0,,
29,fahrulazmyas,Pantang pulang sebelum corona selesai.,2020-05-30 13:56:47+00:00,0,0,,
31,musniumar,WNA dan WNI dari luar negeri terutama TKA China wajib dikarantina utk melindungi rakyat Indonesia dari wabah corona. Sila baca tulisan ini. ,2020-05-30 13:36:57+00:00,23,75,,
32,laras6693,"Iya nel dirumah sanggar kan ga ada yang nempatin, trus kadang kalo malem suka msh ada suara musik nari atau keroncong gt kdgran dr dapur rumah... ditambah ini corona ga ada yg latian kan 2,5bulan ",2020-05-30 13:21:24+00:00,0,0,,
33,dysanyan,"@kalvindos permisi, sudahkah anda terkena corona?",2020-05-30 13:00:02+00:00,0,0,@kalvindos,
34,arbainrambey,Nemu Corona di laci.... ,2020-05-30 12:54:44+00:00,11,41,,
36,okkiardianto,Puncak vs Corona = menang sate kiloan psk ,2020-05-30 12:43:28+00:00,0,0,,
38,roffyyyyy,"Seenggak nya grgr corona pikiran gua ga keganggu sama orgorg yg suka update story di pantai trus captionnya ""VITAMIN SEA "" Taik lah",2020-05-30 12:29:20+00:00,0,1,,
39,hasnaalif,Nanti abis corona wkwk,2020-05-30 12:21:47+00:00,0,0,,
40,anditanaresss,Bener feb emang nyebelin corona....gw baru mau pdkt am orang .... ,2020-05-30 12:17:09+00:00,0,0,,
41,AriKurniaaa,"Betul, kita orang lebih takut mati kelaperan ketimbang mati grgr corona. ",2020-05-30 12:13:49+00:00,0,0,,
42,musniumar,Mencgh penularan Corona harus diutamakan. Penularan Corona diantaranya WNA dan WNI dari luar negeri terutama TKA China. Lakukan karantina kepada mereka yg datang dari luar negeri utk melindungi rakyat Indonesia. Sila baca tulisan saya ,2020-05-30 12:12:01+00:00,7,44,,
45,Tatisekowati1,Dan ini kenyataan dok.. Byk masyarakat yg gembira dan berharap wabah corona lbh lama sehingga mereka terus mdpt bantuan Sedih dan gemez jdnya,2020-05-30 11:46:51+00:00,0,0,,
46,sirakyatjelita,"Efek corona jadi gabisa kemana²,kangen dandan,dandan aja sebelum tidur. Pas nih buat ikutan acara selfienya koh Bud ",2020-05-30 11:46:05+00:00,0,1,,
47,cagubnyinyir2,Panduan Lengkap Pembukaan Rumah Ibadah di Masa Pandemi. https://m.cnnindonesia.com/nasional/20200530171250-20-508293/panduan-lengkap-pembukaan-rumah-ibadah-di-masa-pandemi @Bnie18 @SoffiAgus @Corona_Kafir @tutiekso @Kstriya_Utama @hongkiy1 @KodratArief,2020-05-30 11:28:32+00:00,1,4,@Bnie18 @SoffiAgus @Corona_Kafir @tutiekso @hongkiy1 @KodratArief,
48,gunturndn,Celoteh Hana main pubg gara gara corona . 1 .,2020-05-30 11:15:04+00:00,0,0,,
49,uwi_25,Kamu kaya Corona ya.gaada obat nya:),2020-05-30 11:09:48+00:00,0,1,,
52,yuliantresa,Penyebaran corona lewat jalan tol?,2020-05-30 10:43:25+00:00,0,0,,
53,mchoirr,"Org sinting WTB WTB di facebook. Pasti dibumbui kata 'kali aja ada yg BU', 'nyari yg harga corona'. Idih.",2020-05-30 10:29:44+00:00,0,0,,
54,SINDOnews,"Update Corona: Positif 25.773 Orang, 7.015 Sembuh dan 1.573 Meninggal ",2020-05-30 10:20:00+00:00,0,0,,
55,AyuDyahP,AKU BACANYA PURE CORONA,2020-05-30 09:40:29+00:00,0,1,,
57,muannas_alaidid,"Gerakan Satu Indonesia Stop Corona 6 Fakta tentang Ruslan Buton si Pecatan TNI yang Minta Jokowi Mundur, Dia Mengaku ",2020-05-30 09:11:50+00:00,0,17,,
58,iwanchan_,"fluktuasi ini yg terus dicermati oleh pemerintah maupun Pertamina sejak awal, berdasarkan fakta dimulainya kembali aktivitas ekonomi berbagai negara dari pandemi corona. ",2020-05-30 09:08:05+00:00,0,5,,
